tournament results

{'sizes': [2, 4, 6, 8, 10], 'best_fitness_avg': [2.225, -17.825, -18.875, -20.175, -20.475]}

|    |   sizes |   best_fitness_avg |
|----|---------|--------------------|
|  4 |      10 |            -20.475 |
|  3 |       8 |            -20.175 |
|  2 |       6 |            -18.875 |
|  1 |       4 |            -17.825 |
|  0 |       2 |              2.225 |


tournament results part 2

{'sizes': [7, 8, 9, 10, 11], 'best_fitness_avg': [-19.925, -20.325, -20.675, -20.65, -20.675]}

|    |   sizes |   best_fitness_avg |
|----|---------|--------------------|
|  2 |       9 |            -20.675 |
|  4 |      11 |            -20.675 |
|  3 |      10 |            -20.65  |
|  1 |       8 |            -20.325 |
|  0 |       7 |            -19.925 |


double tournament switch testing results

{'t_size': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 'deaths_t_size': [2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6, 2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6, 2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6], 'queens_t_size': [2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6, 2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6, 2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6], 'switch': [True, False, True, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False], 'best_fitness_avg': [908.3333333333334, 81.58333333333333, 906.6666666666666, 908.3333333333334, 523.25, 888.3333333333334, 905.0, 844.1666666666666, 681.8333333333334, 892.5, 633.5833333333334, 923.3333333333334, 906.6666666666666, -14.416666666666666, 892.5, 899.1666666666666, -7.5, 903.3333333333334, 36.833333333333336, 916.6666666666666, -3.1666666666666665, 163.75, 894.1666666666666, 532.8333333333334, 918.3333333333334, -18.916666666666668, 895.0, 909.1666666666666, -17.416666666666668, 916.6666666666666, 4.833333333333333, 904.1666666666666, -17.333333333333332, 14.25, 912.5, 31.25]}

|    |   t_size |   deaths_t_size |   queens_t_size | switch   |   best_fitness_avg |
{'t_size': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10], 'deaths_t_size': [2, 4, 4, 6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 10, 2, 4, 4, 6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 10, 2, 4, 4, 6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 10, 2, 4, 4, 6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 10, 2, 4, 4, 6, 6, 6, 8, 8, 8, 8, 10, 10, 10, 10, 10], 'queens_t_size': [2, 2, 4, 2, 4, 6, 2, 4, 6, 8, 2, 4, 6, 8, 10, 2, 2, 4, 2, 4, 6, 2, 4, 6, 8, 2, 4, 6, 8, 10, 2, 2, 4, 2, 4, 6, 2, 4, 6, 8, 2, 4, 6, 8, 10, 2, 2, 4, 2, 4, 6, 2, 4, 6, 8, 2, 4, 6, 8, 10, 2, 2, 4, 2, 4, 6, 2, 4, 6, 8, 2, 4, 6, 8, 10], 'switch': [False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False], 'best_fitness_avg': [37.416666666666664, 506.1666666666667, 903.3333333333334, 689.1666666666666, 896.6666666666666, 915.0, 718.5, 913.3333333333334, 912.5, 905.0, 770.0, 907.5, 918.3333333333334, 920.8333333333334, 912.5, -16.083333333333332, -5.0, 49.5, -2.75, 118.75, 544.8333333333334, 0.0, 274.1666666666667, 702.5, 772.75, 5.5, 381.25, 705.8333333333334, 831.6666666666666, 879.1666666666666, -18.666666666666668, -17.666666666666668, 3.8333333333333335, -16.5, 14.75, 27.666666666666668, -16.5, 18.5, 33.666666666666664, 85.16666666666667, -17.75, 18.833333333333332, 37.083333333333336, 136.41666666666666, 369.0833333333333, -18.333333333333332, -19.5, -12.083333333333334, -19.833333333333332, -1.4166666666666667, 12.916666666666666, -19.5, 0.08333333333333333, 16.75, 24.666666666666668, -18.666666666666668, 5.583333333333333, 21.833333333333332, 28.083333333333332, 33.416666666666664, -19.583333333333332, -19.75, -16.25, -20.833333333333332, -13.583333333333334, -1.5, -19.916666666666668, -8.166666666666666, 5.916666666666667, 12.916666666666666, -19.833333333333332, -3.6666666666666665, 8.75, 15.333333333333334, 21.416666666666668]}

|    |   t_size |   deaths_t_size |   queens_t_size | switch   |   best_fitness_avg |
|----|----------|-----------------|-----------------|----------|--------------------|
| 63 |       10 |               6 |               2 | False    |        -20.8333    |
| 66 |       10 |               8 |               2 | False    |        -19.9167    |
| 70 |       10 |              10 |               2 | False    |        -19.8333    |
| 48 |        8 |               6 |               2 | False    |        -19.8333    |
| 61 |       10 |               4 |               2 | False    |        -19.75      |
| 60 |       10 |               2 |               2 | False    |        -19.5833    |
